| time |   in   |load |address|  out   |
| 0+   |      0 |  0  |    0  |      0 |
| 1    |      0 |  0  |    0  |      0 |
| 1+   |      0 |  1  |    0  |      0 |
| 2    |      0 |  1  |    0  |      0 |
| 2+   |   1313 |  0  |    0  |      0 |
| 3    |   1313 |  0  |    0  |      0 |
| 3+   |   1313 |  1  |   13  |      0 |
| 4    |   1313 |  1  |   13  |   1313 |
| 4+   |   1313 |  0  |    0  |      0 |
| 5    |   1313 |  0  |    0  |      0 |
| 5+   |   4747 |  0  |   47  |      0 |
| 6    |   4747 |  0  |   47  |      0 |
| 6+   |   4747 |  1  |   47  |      0 |
| 7    |   4747 |  1  |   47  |   4747 |
| 7+   |   4747 |  0  |   47  |   4747 |
| 8    |   4747 |  0  |   47  |   4747 |
| 8    |   4747 |  0  |   13  |   1313 |
| 8+   |   6363 |  0  |   13  |   1313 |
| 9    |   6363 |  0  |   13  |   1313 |
| 9+   |   6363 |  1  |   63  |      0 |
| 10   |   6363 |  1  |   63  |   6363 |
| 10+  |   6363 |  0  |   63  |   6363 |
| 11   |   6363 |  0  |   63  |   6363 |
| 11   |   6363 |  0  |   47  |   4747 |
| 11   |   6363 |  0  |   63  |   6363 |
| 11+  |   6363 |  0  |   40  |      0 |
| 12   |   6363 |  0  |   40  |      0 |
| 12   |   6363 |  0  |   41  |      0 |
| 12   |   6363 |  0  |   42  |      0 |
| 12   |   6363 |  0  |   43  |      0 |
| 12   |   6363 |  0  |   44  |      0 |
| 12   |   6363 |  0  |   45  |      0 |
| 12   |   6363 |  0  |   46  |      0 |
| 12   |   6363 |  0  |   47  |   4747 |
| 12+  |  21845 |  1  |   40  |      0 |
| 13   |  21845 |  1  |   40  |  21845 |
| 13+  |  21845 |  1  |   41  |      0 |
| 14   |  21845 |  1  |   41  |  21845 |
| 14+  |  21845 |  1  |   42  |      0 |
| 15   |  21845 |  1  |   42  |  21845 |
| 15+  |  21845 |  1  |   43  |      0 |
| 16   |  21845 |  1  |   43  |  21845 |
| 16+  |  21845 |  1  |   44  |      0 |
| 17   |  21845 |  1  |   44  |  21845 |
| 17+  |  21845 |  1  |   45  |      0 |
| 18   |  21845 |  1  |   45  |  21845 |
| 18+  |  21845 |  1  |   46  |      0 |
| 19   |  21845 |  1  |   46  |  21845 |
| 19+  |  21845 |  1  |   47  |   4747 |
| 20   |  21845 |  1  |   47  |  21845 |
| 20+  |  21845 |  0  |   40  |  21845 |
| 21   |  21845 |  0  |   40  |  21845 |
| 21   |  21845 |  0  |   41  |  21845 |
| 21   |  21845 |  0  |   42  |  21845 |
| 21   |  21845 |  0  |   43  |  21845 |
| 21   |  21845 |  0  |   44  |  21845 |
| 21   |  21845 |  0  |   45  |  21845 |
| 21   |  21845 |  0  |   46  |  21845 |
| 21   |  21845 |  0  |   47  |  21845 |
| 21+  | -21846 |  1  |   40  |  21845 |
| 22   | -21846 |  1  |   40  | -21846 |
| 22+  | -21846 |  0  |   40  | -21846 |
| 23   | -21846 |  0  |   40  | -21846 |
| 23   | -21846 |  0  |   41  |  21845 |
| 23   | -21846 |  0  |   42  |  21845 |
| 23   | -21846 |  0  |   43  |  21845 |
| 23   | -21846 |  0  |   44  |  21845 |
| 23   | -21846 |  0  |   45  |  21845 |
| 23   | -21846 |  0  |   46  |  21845 |
| 23   | -21846 |  0  |   47  |  21845 |
| 23+  |  21845 |  1  |   40  | -21846 |
| 24   |  21845 |  1  |   40  |  21845 |
| 24+  | -21846 |  1  |   41  |  21845 |
| 25   | -21846 |  1  |   41  | -21846 |
| 25+  | -21846 |  0  |   40  |  21845 |
| 26   | -21846 |  0  |   40  |  21845 |
| 26   | -21846 |  0  |   41  | -21846 |
| 26   | -21846 |  0  |   42  |  21845 |
| 26   | -21846 |  0  |   43  |  21845 |
| 26   | -21846 |  0  |   44  |  21845 |
| 26   | -21846 |  0  |   45  |  21845 |
| 26   | -21846 |  0  |   46  |  21845 |
| 26   | -21846 |  0  |   47  |  21845 |
| 26+  |  21845 |  1  |   41  | -21846 |
| 27   |  21845 |  1  |   41  |  21845 |
| 27+  | -21846 |  1  |   42  |  21845 |
| 28   | -21846 |  1  |   42  | -21846 |
| 28+  | -21846 |  0  |   40  |  21845 |
| 29   | -21846 |  0  |   40  |  21845 |
| 29   | -21846 |  0  |   41  |  21845 |
| 29   | -21846 |  0  |   42  | -21846 |
| 29   | -21846 |  0  |   43  |  21845 |
| 29   | -21846 |  0  |   44  |  21845 |
| 29   | -21846 |  0  |   45  |  21845 |
| 29   | -21846 |  0  |   46  |  21845 |
| 29   | -21846 |  0  |   47  |  21845 |
| 29+  |  21845 |  1  |   42  | -21846 |
| 30   |  21845 |  1  |   42  |  21845 |
| 30+  | -21846 |  1  |   43  |  21845 |
| 31   | -21846 |  1  |   43  | -21846 |
| 31+  | -21846 |  0  |   40  |  21845 |
| 32   | -21846 |  0  |   40  |  21845 |
| 32   | -21846 |  0  |   41  |  21845 |
| 32   | -21846 |  0  |   42  |  21845 |
| 32   | -21846 |  0  |   43  | -21846 |
| 32   | -21846 |  0  |   44  |  21845 |
| 32   | -21846 |  0  |   45  |  21845 |
| 32   | -21846 |  0  |   46  |  21845 |
| 32   | -21846 |  0  |   47  |  21845 |
| 32+  |  21845 |  1  |   43  | -21846 |
| 33   |  21845 |  1  |   43  |  21845 |
| 33+  | -21846 |  1  |   44  |  21845 |
| 34   | -21846 |  1  |   44  | -21846 |
