| time |   in   |load |address|  out   |
| 0+   |      0 |  0  |    0  |      0 |
| 1    |      0 |  0  |    0  |      0 |
| 1+   |      0 |  1  |    0  |      0 |
| 2    |      0 |  1  |    0  |      0 |
| 2+   |  13099 |  0  |    0  |      0 |
| 3    |  13099 |  0  |    0  |      0 |
| 3+   |  13099 |  1  |  130  |      0 |
| 4    |  13099 |  1  |  130  |  13099 |
| 4+   |  13099 |  0  |    0  |      0 |
| 5    |  13099 |  0  |    0  |      0 |
| 5+   |   4729 |  0  |  472  |      0 |
| 6    |   4729 |  0  |  472  |      0 |
| 6+   |   4729 |  1  |  472  |      0 |
| 7    |   4729 |  1  |  472  |   4729 |
| 7+   |   4729 |  0  |  472  |   4729 |
| 8    |   4729 |  0  |  472  |   4729 |
| 8    |   4729 |  0  |  130  |  13099 |
| 8+   |   5119 |  0  |  130  |  13099 |
| 9    |   5119 |  0  |  130  |  13099 |
| 9+   |   5119 |  1  |  511  |      0 |
| 10   |   5119 |  1  |  511  |   5119 |
| 10+  |   5119 |  0  |  511  |   5119 |
| 11   |   5119 |  0  |  511  |   5119 |
| 11   |   5119 |  0  |  472  |   4729 |
| 11   |   5119 |  0  |  511  |   5119 |
| 11+  |   5119 |  0  |  168  |      0 |
| 12   |   5119 |  0  |  168  |      0 |
| 12   |   5119 |  0  |  169  |      0 |
| 12   |   5119 |  0  |  170  |      0 |
| 12   |   5119 |  0  |  171  |      0 |
| 12   |   5119 |  0  |  172  |      0 |
| 12   |   5119 |  0  |  173  |      0 |
| 12   |   5119 |  0  |  174  |      0 |
| 12   |   5119 |  0  |  175  |      0 |
| 12+  |  21845 |  1  |  168  |      0 |
| 13   |  21845 |  1  |  168  |  21845 |
| 13+  |  21845 |  1  |  169  |      0 |
| 14   |  21845 |  1  |  169  |  21845 |
| 14+  |  21845 |  1  |  170  |      0 |
| 15   |  21845 |  1  |  170  |  21845 |
| 15+  |  21845 |  1  |  171  |      0 |
| 16   |  21845 |  1  |  171  |  21845 |
| 16+  |  21845 |  1  |  172  |      0 |
| 17   |  21845 |  1  |  172  |  21845 |
| 17+  |  21845 |  1  |  173  |      0 |
| 18   |  21845 |  1  |  173  |  21845 |
| 18+  |  21845 |  1  |  174  |      0 |
| 19   |  21845 |  1  |  174  |  21845 |
| 19+  |  21845 |  1  |  175  |      0 |
| 20   |  21845 |  1  |  175  |  21845 |
| 20+  |  21845 |  0  |  168  |  21845 |
| 21   |  21845 |  0  |  168  |  21845 |
| 21   |  21845 |  0  |  169  |  21845 |
| 21   |  21845 |  0  |  170  |  21845 |
| 21   |  21845 |  0  |  171  |  21845 |
| 21   |  21845 |  0  |  172  |  21845 |
| 21   |  21845 |  0  |  173  |  21845 |
| 21   |  21845 |  0  |  174  |  21845 |
| 21   |  21845 |  0  |  175  |  21845 |
| 21+  | -21846 |  1  |  168  |  21845 |
| 22   | -21846 |  1  |  168  | -21846 |
| 22+  | -21846 |  0  |  168  | -21846 |
| 23   | -21846 |  0  |  168  | -21846 |
| 23   | -21846 |  0  |  169  |  21845 |
| 23   | -21846 |  0  |  170  |  21845 |
| 23   | -21846 |  0  |  171  |  21845 |
| 23   | -21846 |  0  |  172  |  21845 |
| 23   | -21846 |  0  |  173  |  21845 |
| 23   | -21846 |  0  |  174  |  21845 |
| 23   | -21846 |  0  |  175  |  21845 |
| 23+  |  21845 |  1  |  168  | -21846 |
| 24   |  21845 |  1  |  168  |  21845 |
| 24+  | -21846 |  1  |  169  |  21845 |
| 25   | -21846 |  1  |  169  | -21846 |
| 25+  | -21846 |  0  |  168  |  21845 |
| 26   | -21846 |  0  |  168  |  21845 |
| 26   | -21846 |  0  |  169  | -21846 |
| 26   | -21846 |  0  |  170  |  21845 |
| 26   | -21846 |  0  |  171  |  21845 |
| 26   | -21846 |  0  |  172  |  21845 |
| 26   | -21846 |  0  |  173  |  21845 |
| 26   | -21846 |  0  |  174  |  21845 |
| 26   | -21846 |  0  |  175  |  21845 |
| 26+  |  21845 |  1  |  169  | -21846 |
| 27   |  21845 |  1  |  169  |  21845 |
| 27+  | -21846 |  1  |  170  |  21845 |
| 28   | -21846 |  1  |  170  | -21846 |
| 28+  | -21846 |  0  |  168  |  21845 |
| 29   | -21846 |  0  |  168  |  21845 |
| 29   | -21846 |  0  |  169  |  21845 |
| 29   | -21846 |  0  |  170  | -21846 |
| 29   | -21846 |  0  |  171  |  21845 |
| 29   | -21846 |  0  |  172  |  21845 |
| 29   | -21846 |  0  |  173  |  21845 |
| 29   | -21846 |  0  |  174  |  21845 |
| 29   | -21846 |  0  |  175  |  21845 |
| 29+  |  21845 |  1  |  170  | -21846 |
| 30   |  21845 |  1  |  170  |  21845 |
| 30+  | -21846 |  1  |  171  |  21845 |
| 31   | -21846 |  1  |  171  | -21846 |
| 31+  | -21846 |  0  |  168  |  21845 |
| 32   | -21846 |  0  |  168  |  21845 |
| 32   | -21846 |  0  |  169  |  21845 |
| 32   | -21846 |  0  |  170  |  21845 |
| 32   | -21846 |  0  |  171  | -21846 |
| 32   | -21846 |  0  |  172  |  21845 |
| 32   | -21846 |  0  |  173  |  21845 |
| 32   | -21846 |  0  |  174  |  21845 |
| 32   | -21846 |  0  |  175  |  21845 |
| 32+  |  21845 |  1  |  171  | -21846 |
| 33   |  21845 |  1  |  171  |  21845 |
| 33+  | -21846 |  1  |  172  |  21845 |
| 34   | -21846 |  1  |  172  | -21846 |
